,state,representatives,state_abbr
0,Alabama,7,AL
1,Alaska,1,AK
2,Arizona,9,AZ
3,Arkansas,4,AR
4,California,52,CA
5,Colorado,8,CO
6,Connecticut,5,CT
7,Delaware,1,DE
8,Florida,28,FL
9,Georgia,14,GA
10,Hawaii,2,HI
11,Idaho,2,ID
12,Illinois,17,IL
13,Indiana,9,IN
14,Iowa,4,IA
15,Kansas,4,KS
16,Kentucky,6,KY
17,Louisiana,6,LA
18,Maine,2,ME
19,Maryland,8,MD
20,Massachusetts,9,MA
21,Michigan,13,MI
22,Minnesota,8,MN
23,Mississippi,4,MS
24,Missouri,8,MO
25,Montana,2,MT
26,Nebraska,3,NE
27,Nevada,4,NV
28,New Hampshire,2,NH
29,New Jersey,12,NJ
30,New Mexico,3,NM
31,New York,26,NY
32,North Carolina,14,NC
33,North Dakota,1,ND
34,Ohio,15,OH
35,Oklahoma,5,OK
36,Oregon,6,OR
37,Pennsylvania,17,PA
38,Rhode Island,2,RI
39,South Carolina,7,SC
40,South Dakota,1,SD
41,Tennessee,9,TN
42,Texas,38,TX
43,Utah,4,UT
44,Vermont,1,VT
45,Virginia,11,VA
46,Washington,10,WA
47,West Virginia,2,WV
48,Wisconsin,8,WI
49,Wyoming,1,WY
